"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
917	"paid"	306	"Construction Simulator 2014"	"https://www.appannie.com/apps/ios/app/construction-simulator-2014/"	"2015-04-01 12:38:49.725289"	"2015-04-01 12:39:05.280311"
918	"grossing"	306	"Cut the Rope"	"https://www.appannie.com/apps/ios/app/cut-the-rope/"	"2015-04-01 12:38:49.735223"	"2015-04-01 12:39:05.289599"
919	"free"	307	"Digit Smash"	"https://www.appannie.com/apps/ios/app/digit-smash/"	"2015-04-01 12:38:49.743417"	"2015-04-01 12:39:05.301548"
920	"paid"	307	"Doodle Army"	"https://www.appannie.com/apps/ios/app/doodle-army/"	"2015-04-01 12:38:49.753428"	"2015-04-01 12:39:05.311321"
921	"grossing"	307	"iTranslate Voice - translator  dictionary"	"https://www.appannie.com/apps/ios/app/itranslate-voice-translator-dictionary/"	"2015-04-01 12:38:49.765593"	"2015-04-01 12:39:05.322108"
922	"free"	308	"Racing Penguin, Flying Free - by Top Free Games"	"https://www.appannie.com/apps/ios/app/racing-penguin-flying-free-by-top-free-games/"	"2015-04-01 12:38:49.775743"	"2015-04-01 12:39:05.332079"
923	"paid"	308	"Teenage Mutant Ninja Turtles: Rooftop Run"	"https://www.appannie.com/apps/ios/app/619517698/"	"2015-04-01 12:38:49.784552"	"2015-04-01 12:39:05.340975"
924	"grossing"	308	"The Trace: Murder Mystery Game"	"https://www.appannie.com/apps/ios/app/the-trace-murder-mystery-game/"	"2015-04-01 12:38:49.793109"	"2015-04-01 12:39:05.352270"
925	"free"	309	"Sniper Shooter by Fun Games for Free"	"https://www.appannie.com/apps/ios/app/sniper-shooter-by-fun-games/"	"2015-04-01 12:38:49.801335"	"2015-04-01 12:39:05.361152"
926	"paid"	309	"Radiation Island"	"https://www.appannie.com/apps/ios/app/radiation-island/"	"2015-04-01 12:38:49.809274"	"2015-04-01 12:39:05.370303"
927	"grossing"	309	"Keno 4 Multi Card FREE"	"https://www.appannie.com/apps/ios/app/keno-4-multi-card-free/"	"2015-04-01 12:38:49.821948"	"2015-04-01 12:39:05.380845"
928	"free"	310	"Adobe Photoshop Express"	"https://www.appannie.com/apps/ios/app/adobe-photoshop-express/"	"2015-04-01 12:38:49.830980"	"2015-04-01 12:39:05.390784"
929	"paid"	310	"QSeer Coupon Reader"	"https://www.appannie.com/apps/ios/app/qseer-coupon-reader/"	"2015-04-01 12:38:49.840545"	"2015-04-01 12:39:05.401777"
930	"grossing"	310	"Chef Town: Cook, Farm  Expand"	"https://www.appannie.com/apps/ios/app/chef-town-cook-farm-expand/"	"2015-04-01 12:38:49.849021"	"2015-04-01 12:39:05.411870"
931	"free"	311	"Repost for Instagram"	"https://www.appannie.com/apps/ios/app/repost-for-instagram/"	"2015-04-01 12:38:49.857419"	"2015-04-01 12:39:05.420730"
932	"paid"	311	"PicLab HD - Design Studio"	"https://www.appannie.com/apps/ios/app/piclab-hd-design-studio/"	"2015-04-01 12:38:49.866749"	"2015-04-01 12:39:05.430481"
933	"grossing"	311	"Diamond Dash"	"https://www.appannie.com/apps/ios/app/diamond-dash/"	"2015-04-01 12:38:49.875011"	"2015-04-01 12:39:05.439908"
