"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
138	"grossing"	46	"Frozen Free Fall"	"http://www.appannie.com/apps/ios/app/frozen-free-fall/"	"2015-03-31 17:34:19.559199"	"2015-03-31 17:34:23.405706"
139	"free"	47	"aa"	"http://www.appannie.com/apps/ios/app/905852173/"	"2015-03-31 17:34:19.569224"	"2015-03-31 17:34:23.413328"
140	"paid"	47	"Plants vs. Zombies"	"http://www.appannie.com/apps/ios/app/plants-vs-zombies/"	"2015-03-31 17:34:19.579511"	"2015-03-31 17:34:23.421086"
141	"grossing"	47	"Brave Frontier"	"http://www.appannie.com/apps/ios/app/brave-frontier/"	"2015-03-31 17:34:19.589246"	"2015-03-31 17:34:23.431404"
142	"free"	48	"Periscope"	"http://www.appannie.com/apps/ios/app/972909677/"	"2015-03-31 17:34:19.602293"	"2015-03-31 17:34:23.440236"
143	"paid"	48	"21 Day Companion - fix the way you track your progress"	"http://www.appannie.com/apps/ios/app/21-day-companion-fix-way-you/"	"2015-03-31 17:34:19.611828"	"2015-03-31 17:34:23.449853"
144	"grossing"	48	"Zynga Poker - Texas Holdem"	"http://www.appannie.com/apps/ios/app/zynga-poker-texas-holdem/"	"2015-03-31 17:34:19.621527"	"2015-03-31 17:34:23.459859"
145	"free"	49	"Candy Crush Saga"	"http://www.appannie.com/apps/ios/app/candy-crush-saga/"	"2015-03-31 17:34:19.629617"	"2015-03-31 17:34:23.472359"
146	"paid"	49	"Scanner Pro by Readdle"	"http://www.appannie.com/apps/ios/app/scanner-pro-by-readdle/"	"2015-03-31 17:34:19.639415"	"2015-03-31 17:34:23.482090"
147	"grossing"	49	"Criminal Case"	"http://www.appannie.com/apps/ios/app/767473889/"	"2015-03-31 17:34:19.651208"	"2015-03-31 17:34:23.490821"
148	"free"	50	"Waze Social GPS, Maps & Traffic"	"http://www.appannie.com/apps/ios/app/waze-social-gps-maps-traffic/"	"2015-03-31 17:34:19.660542"	"2015-03-31 17:34:23.500778"
149	"paid"	50	"TETRIS®"	"http://www.appannie.com/apps/ios/app/479943969/"	"2015-03-31 17:34:19.669784"	"2015-03-31 17:34:23.509894"
150	"grossing"	50	"BINGO Blitz - FREE Bingo + Slots"	"http://www.appannie.com/apps/ios/app/bingo-blitz-free-bingo-slots/"	"2015-03-31 17:34:19.679358"	"2015-03-31 17:34:23.519691"
151	"free"	51	"Chrome - web browser by Google"	"http://www.appannie.com/apps/ios/app/chrome-web-browser-by-google/"	"2015-03-31 17:34:19.689908"	"2015-03-31 17:34:23.530490"
152	"paid"	51	"Dude Perfect"	"http://www.appannie.com/apps/ios/app/dude-perfect/"	"2015-03-31 17:34:19.700248"	"2015-03-31 17:34:23.539332"
153	"grossing"	51	"MLB.com At Bat"	"http://www.appannie.com/apps/ios/app/mlb.com-at-bat/"	"2015-03-31 17:34:19.710216"	"2015-03-31 17:34:23.549962"
154	"free"	52	"Vine"	"http://www.appannie.com/apps/ios/app/592447445/"	"2015-03-31 17:34:19.720994"	"2015-03-31 17:34:23.559079"
155	"paid"	52	"The Trace: Murder Mystery Game"	"http://www.appannie.com/apps/ios/app/the-trace-murder-mystery-game/"	"2015-03-31 17:34:19.729287"	"2015-03-31 17:34:23.569655"
156	"grossing"	52	"MARVEL War of Heroes"	"http://www.appannie.com/apps/ios/app/marvel-war-of-heroes/"	"2015-03-31 17:34:19.737706"	"2015-03-31 17:34:23.580233"
